collectDate,uva_250,uva_280,dtpr,site
4/24/17 18:27,0.1102,0.0746,4/24/17 18:30,BLWA
4/27/17 12:36,0.1035,0.0683,4/27/17 12:30,BLWA
5/2/17 13:17,0.1447,0.0993,5/2/17 13:15,BLWA
5/16/17 12:38,0.0937,0.0627,5/16/17 12:45,BLWA
5/23/17 13:30,0.0789,0.0546,5/23/17 13:30,BLWA
6/13/17 18:03,0.084,0.0564,6/13/17 18:00,BLWA
7/6/17 20:18,0.1438,0.1003,7/6/17 20:15,BLWA
7/11/17 16:50,0.1166,0.0821,7/11/17 16:45,BLWA
7/19/17 15:46,0.1253,0.084,7/19/17 15:45,BLWA
8/1/17 15:06,0.119,0.0823,8/1/17 15:00,BLWA
8/15/17 20:10,0.1093,0.0734,8/15/17 20:15,BLWA
10/25/17 19:45,0.072533333,0.043666667,10/25/17 19:45,BLWA
11/2/17 7:24,0.074766667,0.048166667,11/2/17 7:30,BLWA
11/21/17 21:29,0.0623,0.0387,11/21/17 21:30,BLWA
12/5/17 20:00,0.0673,0.0451,12/5/17 20:00,BLWA
12/13/17 20:50,0.0806,0.0525,12/13/17 20:45,BLWA
1/9/18 21:00,0.0819,0.0556,1/9/18 21:00,BLWA
1/24/18 18:31,0.1076,0.0702,1/24/18 18:30,BLWA
1/31/18 19:05,0.1936,0.1278,1/31/18 19:00,BLWA
2/15/18 20:37,0.1397,0.0967,2/15/18 20:30,BLWA
2/22/18 21:10,0.159,0.1202,2/22/18 21:15,BLWA
3/5/18 15:10,0.0884,0.06,3/5/18 15:15,BLWA
3/8/18 16:40,0.0797,0.0541,3/8/18 16:45,BLWA
3/22/18 14:40,0.0996,0.0665,3/22/18 14:45,BLWA
3/27/18 19:23,0.0537,0.0298,3/27/18 19:30,BLWA
4/10/18 19:56,0.0927,0.0609,4/10/18 20:00,BLWA
4/12/18 19:40,0.1103,0.0736,4/12/18 19:45,BLWA
